,ISO,Year,IT.CEL.SETS.P2,EG.ELC.ACCS.ZS,IQ.CPA.PROP.XQ
332,BHS,2007,109.2516534,98.3253021240234,
333,BHS,2006,75.33186434,97.900764465332,
334,BHS,2005,69.17894967,97.5100936889648,
335,BHS,2004,57.67193963,97.1313247680664,
336,BHS,2003,38.71086253,96.7583999633789,
337,BHS,2002,39.38419638,96.38525390625,
338,BHS,2001,19.97624821,96.065547,
339,BHS,2000,10.58242976,95.6140518188477,
340,BHS,1999,5.419794803,95.2038726806641,
341,BHS,1998,2.782872509,94.7707290649414,
342,BHS,1997,2.160504582,94.3161849975586,
343,BHS,1996,1.74354276,93.8432769775391,
344,BHS,1995,1.463501696,93.3550720214844,
345,BHS,1994,,92.8546371459961,
346,BHS,1993,0.885438755,92.3450241088867,
347,BHS,1992,0.976951461,91.8292922973633,
348,BHS,1991,0.773602537,91.3105010986328,
349,BHS,1990,0.749797141,90.7911987304688,
350,BHR,2014,174.2741117,100.0,
351,BHR,2013,168.0227701,100.0,
352,BHR,2012,163.349887,100.0,
353,BHR,2011,132.4955858,100.0,
354,BHR,2010,126.2831806,100.0,
355,BHR,2009,118.3071469,100.0,
356,BHR,2008,129.2656493,100.0,
357,BHR,2007,107.7313154,100.0,
358,BHR,2006,94.68069123,100.0,
359,BHR,2005,86.27199809,100.0,
360,BHR,2004,78.2991584,100.0,
361,BHR,2003,56.90288181,100.0,
362,BHR,2002,52.9131549,100.0,
363,BHR,2001,42.94852405,100.0,
364,BHR,2000,30.95435847,,
365,BHR,1999,20.9675671,,
366,BHR,1998,15.00125468,,
367,BHR,1997,9.840317348,,
368,BHR,1996,6.926251322,,
369,BHR,1995,4.89623008,,
370,BHR,1994,3.20531016,,
371,BHR,1993,2.118561094,,
372,BHR,1992,1.851126103,,
373,BHR,1991,1.442625524,,
374,BHR,1990,1.037845991,,
375,BGD,2014,79.58713274,62.4,3.0
376,BGD,2013,73.96847136,61.5,3.0
377,BGD,2012,62.40405769,60.8782157897949,3.0
378,BGD,2011,54.81622359,59.6,3.0
379,BGD,2010,44.64297594,55.26,3.0
380,BGD,2009,34.13606372,53.6328544616699,3.0
381,BGD,2008,29.99882787,51.2497749328613,3.0
382,BGD,2007,23.35883443,46.5,3.0
383,BGD,2006,13.16038088,50.5251024590164,2.5
384,BGD,2005,6.274789733,44.23,3.0
385,BGD,2004,1.968444857,40.6,
386,BGD,2003,0.981880168,39.6131591796875,
387,BGD,2002,0.786965411,37.3091239929199,
388,BGD,2001,0.387749618,34.9988059997559,
389,BGD,2000,0.212036301,32.0,
390,BGD,1999,0.115477297,30.3350658416748,
391,BGD,1998,0.059312936,27.9710369110107,
392,BGD,1997,0.02099235,22.4,
393,BGD,1996,0.003298435,23.1817989349365,
394,BGD,1995,0.002106028,20.7627086639404,
395,BGD,1994,0.000950231,17.8,
396,BGD,1993,0.000439773,15.8908739089966,
397,BGD,1992,0.000224776,13.4442501068115,
398,BGD,1991,0.0,14.29,
399,BGD,1990,0.0,8.54437446594238,
400,BRB,2014,107.7883445,100.0,
401,BRB,2013,108.9197158,100.0,
402,BRB,2012,124.0463803,100.0,
403,BRB,2011,123.9899359,100.0,
404,BRB,2010,125.2145266,100.0,
405,BRB,2009,121.0403275,100.0,
406,BRB,2008,104.0902354,100.0,
407,BRB,2007,93.28118776,100.0,
408,BRB,2006,86.21286436,100.0,
409,BRB,2005,75.24935312,100.0,
410,BRB,2004,73.28619398,100.0,
411,BRB,2003,51.42181313,100.0,
412,BRB,2002,35.80142774,100.0,
413,BRB,2001,19.62096163,100.0,
414,BRB,2000,10.54931128,100.0,
415,BRB,1999,7.552003927,,
416,BRB,1998,4.478447472,,
417,BRB,1997,3.001741932,,
418,BRB,1996,2.362545217,,
419,BRB,1995,1.7414015,,
420,BRB,1994,1.123799784,,
421,BRB,1993,0.592955236,,
422,BRB,1992,0.303603576,,
423,BRB,1991,0.186010908,,
424,BRB,1990,0.0,,
425,BLR,2014,120.211978,100.0,
426,BLR,2013,117.254509,100.0,
427,BLR,2012,112.7193343,100.0,
428,BLR,2011,112.9524212,100.0,
429,BLR,2010,109.0765603,100.0,
430,BLR,2009,102.107906,100.0,
431,BLR,2008,85.49192197,100.0,
432,BLR,2007,72.9799649,100.0,
433,BLR,2006,62.24515128,100.0,
434,BLR,2005,42.60751108,100.0,
435,BLR,2004,23.14053609,100.0,
436,BLR,2003,11.47837579,100.0,
437,BLR,2002,4.71728126,100.0,
438,BLR,2001,1.401089298,100.0,
439,BLR,2000,0.496828494,100.0,
440,BLR,1999,0.234876914,100.0,
441,BLR,1998,0.121149468,100.0,
442,BLR,1997,0.081077639,100.0,
443,BLR,1996,0.064773502,100.0,
444,BLR,1995,0.058142585,100.0,
445,BLR,1994,0.016946229,100.0,
446,BLR,1993,0.003176312,100.0,
447,BLR,1992,0.0,100.0,
448,BLR,1991,0.0,100.0,
449,BLR,1990,0.0,100.0,
450,BEL,2014,113.5087018,100.0,
451,BEL,2013,110.435401,100.0,
452,BEL,2012,111.0959485,100.0,
453,BEL,2011,113.4644495,100.0,
454,BEL,2010,111.110074,100.0,
455,BEL,2009,108.424729,100.0,
456,BEL,2008,105.2186842,100.0,
457,BEL,2007,100.3765809,100.0,
458,BEL,2006,92.72859242,100.0,
459,BEL,2005,91.0666428,100.0,
460,BEL,2004,87.13361692,100.0,
461,BEL,2003,82.59725088,100.0,
462,BEL,2002,78.16562364,100.0,
463,BEL,2001,74.59042376,100.0,
464,BEL,2000,54.74598263,100.0,
465,BEL,1999,31.07315732,100.0,
466,BEL,1998,17.1557654,100.0,
467,BEL,1997,9.531632548,100.0,
468,BEL,1996,4.684160644,100.0,
469,BEL,1995,2.309551893,100.0,
470,BEL,1994,1.261047868,100.0,
471,BEL,1993,0.66976167,100.0,
472,BEL,1992,0.609837111,100.0,
473,BEL,1991,0.512179707,100.0,
474,BEL,1990,0.428519577,100.0,
475,BLZ,2014,48.9914528,91.7720565795898,
476,BLZ,2013,50.73348035,91.5541839599609,
477,BLZ,2012,51.20953012,91.3423233032227,
478,BLZ,2011,67.56148388,91.6817359855335,
479,BLZ,2010,60.38438099,89.9172243747798,
480,BLZ,2009,51.5349012,90.7728118896484,
481,BLZ,2008,52.26985449,90.6150207519531,
482,BLZ,2007,39.64853371,90.4782562255859,
483,BLZ,2006,40.58511352,90.9885308574549,
484,BLZ,2005,33.88909089,90.2677307128906,
485,BLZ,2004,27.16515327,90.1833572387695,
486,BLZ,2003,22.44380039,90.1048278808594,
487,BLZ,2002,19.7283815,90.0260772705078,
488,BLZ,2001,15.35586547,89.9410400390625,
489,BLZ,2000,6.797808463,89.8436584472656,
490,BLZ,1999,2.757440613,89.7278671264649,
491,BLZ,1998,1.535061055,89.5891265869141,
492,BLZ,1997,1.147983358,89.4289703369141,
493,BLZ,1996,1.022108239,89.2504577636719,
494,BLZ,1995,0.747476602,89.0566482543945,
495,BLZ,1994,0.412546982,88.8506011962891,
496,BLZ,1993,0.20241276,88.635383605957,
497,BLZ,1992,0.0,88.4140396118164,
498,BLZ,1991,0.0,88.1896438598633,
499,BLZ,1990,0.0,87.9647369384766,
500,BEN,2014,84.19047797,34.1,3.0
501,BEN,2013,96.2316373,37.2992057800293,3.0
502,BEN,2012,86.41903309,38.4,3.0
503,BEN,2011,82.07767164,36.9,3.0
504,BEN,2010,76.90743352,34.2,3.0
505,BEN,2009,56.27182157,31.9267921447754,3.0
506,BEN,2008,41.68565041,30.6212387084961,3.0
507,BEN,2007,24.26761348,29.3367118835449,3.0
508,BEN,2006,12.84824586,27.9,3.0
509,BEN,2005,7.469934761,26.8306674957275,3.0
510,BEN,2004,5.926732425,25.5985355377197,
511,BEN,2003,3.140393229,24.3722438812256,
512,BEN,2002,2.998741398,23.1457328796387,
513,BEN,2001,1.76635179,21.9,
514,BEN,2000,0.807987124,20.6677970886231,
515,BEN,1999,0.109077027,19.4042453765869,
516,BEN,1998,0.097152126,18.1177425384521,
517,BEN,1997,0.068373875,16.8098239898682,
518,BEN,1996,0.044418854,14.5,
519,BEN,1995,0.017779861,14.1419849395752,
520,BEN,1994,0.0,12.7881803512573,
521,BEN,1993,0.0,11.425199508667,
522,BEN,1992,0.0,10.0560998916626,
523,BEN,1991,0.0,8.68394088745117,
524,BEN,1990,0.0,7.31127214431763,
525,BMU,2014,95.36565035,100.0,
526,BMU,2013,150.2286088,100.0,
527,BMU,2012,144.0352016,100.0,
528,BMU,2011,,100.0,
529,BMU,2010,137.9073113,100.0,
530,BMU,2009,132.1866787,100.0,
531,BMU,2008,122.2437137,100.0,
532,BMU,2007,106.3305184,100.0,
533,BMU,2006,92.37200867,100.0,
534,BMU,2005,80.94580071,100.0,
535,BMU,2004,75.30930608,100.0,
536,BMU,2003,61.66178511,100.0,
537,BMU,2002,46.4324408,100.0,
538,BMU,2001,20.72819987,100.0,
539,BMU,2000,20.30361717,100.0,
540,BMU,1999,20.07307855,100.0,
541,BMU,1998,19.79499614,100.0,
542,BMU,1997,16.24432887,100.0,
543,BMU,1996,12.66948211,100.0,
544,BMU,1995,10.0867679,100.0,
545,BMU,1994,8.218848688,100.0,
546,BMU,1993,5.480865332,100.0,
547,BMU,1992,3.138933476,100.0,
548,BMU,1991,2.348643006,100.0,
549,BMU,1990,1.825045134,100.0,
550,BTN,2014,80.43500659,96.9126434326172,3.5
551,BTN,2013,71.1587911,92.4044189453125,3.5
552,BTN,2012,74.49064833,91.5,3.5
553,BTN,2011,65.3858827,83.4089965820313,3.5
554,BTN,2010,54.19100903,73.2829108748978,3.5
555,BTN,2009,47.4398775,74.4616470336914,3.5
556,BTN,2008,36.15507526,70.0135040283203,3.5
557,BTN,2007,21.75373167,71.8,3.5
558,BTN,2006,12.20984547,61.1817893981934,3.5
559,BTN,2005,5.48246449,59.8081116441343,3.5
560,BTN,2004,2.988995474,52.4204368591308,
561,BTN,2003,0.361706291,41.1,
562,BTN,2002,0.0,43.6824569702148,
563,BTN,2001,0.0,39.3070755004883,
564,BTN,2000,0.0,34.9193420410156,
565,BTN,1999,0.0,30.5132007598877,
566,BTN,1998,0.0,26.0841083526611,
567,BTN,1997,0.0,21.6336002349854,
568,BTN,1996,0.0,17.1647396087647,
569,BTN,1995,0.0,12.6805810928345,
570,BTN,1994,0.0,8.18418788909912,
571,BTN,1993,0.0,3.67861652374268,
572,BTN,1992,0.0,1.83413994312286,
573,BTN,1991,0.0,0.481654524803162,
574,BTN,1990,0.0,0.00999999977648258,
575,BOL,2014,98.94133387,90.038729,2.5
576,BOL,2013,100.2446092,89.505686,2.5
577,BOL,2012,92.7161177,90.387375,2.5
578,BOL,2011,82.88339661,88.335943,2.5
579,BOL,2010,72.3847331,84.2948150634766,2.5
580,BOL,2009,66.24200154,86.765597,2.5
581,BOL,2008,52.48620943,84.674991,2.5
582,BOL,2007,34.46940955,80.156567,2.5
583,BOL,2006,30.98178952,76.211281,2.5
584,BOL,2005,26.53472299,68.288209,2.5
585,BOL,2004,20.08074274,76.0509185791016,
586,BOL,2003,14.51513095,72.3,
587,BOL,2002,11.82586618,63.996855,
588,BOL,2001,9.179408866,69.258539,
589,BOL,2000,6.986260107,69.963045,
590,BOL,1999,5.136976592,70.929888,
591,BOL,1998,2.98111672,71.2,
592,BOL,1997,1.50470311,67.330431,
593,BOL,1996,0.432785833,71.0,
594,BOL,1995,0.095536847,63.7062683105469,
595,BOL,1994,0.054671465,64.1,
596,BOL,1993,0.036555732,60.7921257019043,
597,BOL,1992,0.021747949,59.324348449707,
598,BOL,1991,0.004218793,57.853515625,
599,BOL,1990,0.0,56.3821678161621,
600,BIH,2014,97.90202025,100.0,
601,BIH,2013,96.76338329,99.9984893798828,3.0
602,BIH,2012,92.0328107,99.9866180419922,3.0
603,BIH,2011,85.96907179,99.7057805469021,3.0
604,BIH,2010,83.56160151,99.8557586669922,3.0
605,BIH,2009,86.93943593,99.7254028320313,3.0
606,BIH,2008,84.46797866,99.5800399780273,3.0
607,BIH,2007,64.9291203,99.7,3.0
608,BIH,2006,49.94935795,99.3872769868445,3.0
609,BIH,2005,42.16195561,99.2226791381836,3.0
610,BIH,2004,37.22121595,99.1321105957031,
611,BIH,2003,28.43926317,99.0473556518555,
612,BIH,2002,19.83099242,98.5,
613,BIH,2001,11.79203157,99.4,
614,BIH,2000,2.479248447,98.7678527832031,
615,BIH,1999,1.399450616,98.6476440429688,
616,BIH,1998,0.671406498,98.5077209472656,
617,BIH,1997,0.239844517,98.3478698730469,
618,BIH,1996,0.039678572,98.1699523925781,
619,BIH,1995,0.0,97.9859390258789,
620,BIH,1994,0.0,97.7782211303711,
621,BIH,1993,0.0,97.5613250732422,
622,BIH,1992,0.0,97.3383102416992,
623,BIH,1991,0.0,97.1122360229492,
624,BIH,1990,0.0,96.8856506347656,
625,BWA,2014,157.2696423,56.3696098327637,
626,BWA,2013,152.5382345,54.2134704589844,
627,BWA,2012,147.4993479,52.0633392333984,
628,BWA,2011,141.3838961,53.24,
629,BWA,2010,117.298669,47.7931137084961,
630,BWA,2009,94.65720684,45.679027557373,
631,BWA,2008,76.3372588,43.1,
632,BWA,2007,60.16258761,41.5079345703125,
